Wall time,Step,Value
1717021479.7014802,2000,-74732.0
1717021648.95407,12000,-74721.2109375
1717021801.2507322,22000,-69106.9453125
1717021957.1100879,32000,-65615.7890625
1717022113.9202626,42000,-57205.578125
1717022265.4691718,52000,-43910.52734375
1717022424.9560292,62000,-36545.6328125
1717022577.7716498,72000,-34300.84375
1717022729.3760836,82000,-33790.47265625
1717022879.793029,92000,-31239.0
1717023031.7401743,102000,-32605.998046875
1717023191.6433613,112000,-25342.578125
1717023345.5306344,122000,-25301.263671875
1717023497.7323744,132000,-27681.263671875
1717023656.973482,142000,-28252.31640625
1717023816.0519238,152000,-30417.947265625
1717023979.637944,162000,-26552.7890625
1717024130.4856076,172000,-23855.263671875
1717024282.937742,182000,-23479.7890625
1717024436.175866,192000,-21045.578125
1717024588.538995,202000,-23056.31640625
1717024748.3303404,212000,-23504.630859375
1717024900.622806,222000,-21868.630859375
1717025050.908829,232000,-22639.7890625
1717025203.5102448,242000,-23257.685546875
1717025355.1157725,252000,-20661.419921875
1717025514.612133,262000,-19302.263671875
1717025666.1185944,272000,-19452.580078125
1717025816.9933968,282000,-19998.2109375
1717025968.1427672,292000,-18521.208984375
1717026119.4928007,302000,-18854.208984375
1717026284.420286,312000,-18027.578125
1717026436.3012311,322000,-17626.3671875
1717026588.532955,332000,-18215.0
1717026740.9131725,342000,-17668.89453125
1717026893.130202,352000,-18183.736328125
1717027052.3856404,362000,-17262.68359375
1717027203.9980502,372000,-17024.578125
1717027356.1278946,382000,-17140.89453125
1717027509.7780151,392000,-16600.630859375
1717027662.4083405,402000,-16987.2109375
1717027823.111877,412000,-17007.947265625
1717027974.5853748,422000,-16720.947265625
1717028126.4338362,432000,-16311.7373046875
1717028278.2344735,442000,-16406.314453125
1717028429.7782507,452000,-16284.0
1717028590.031311,462000,-16219.1044921875
1717028741.6917784,472000,-16093.9462890625
1717028896.6331177,482000,-15503.89453125
1717029048.798933,492000,-15827.7373046875
1717029202.236481,502000,-15489.5263671875
1717029362.9669075,512000,-15681.369140625
1717029514.5954328,522000,-14620.3154296875
1717029666.3027637,532000,-15503.5791015625
1717029820.1930203,542000,-15553.8427734375
1717029972.6230364,552000,-15522.8427734375
1717030133.7891273,562000,-15354.3681640625
1717030285.4231467,572000,-15454.5263671875
1717030437.1844728,582000,-15383.8427734375
1717030588.6210861,592000,-15312.7900390625
1717030740.2664845,602000,-15571.947265625
1717030900.3260558,612000,-15866.10546875
1717031054.5723157,622000,-15467.0
1717031206.3148313,632000,-16256.841796875
1717031358.6981037,642000,-15504.0
1717031509.9083862,652000,-15015.4736328125
1717031670.6189847,662000,-15804.630859375
1717031822.0722334,672000,-15320.2109375
1717031974.1941218,682000,-15245.2109375
1717032126.1135523,692000,-15090.5263671875
1717032277.1788487,702000,-14879.4736328125
1717032437.6630988,712000,-14688.158203125
1717032589.1085882,722000,-14849.1044921875
1717032741.132262,732000,-15190.841796875
1717032892.7929027,742000,-14962.158203125
1717033044.5039103,752000,-15373.3154296875
1717033206.0751567,762000,-14983.158203125
1717033357.9992483,772000,-14871.89453125
1717033514.030323,782000,-14876.89453125
1717033665.3649926,792000,-14898.6845703125
1717033816.9956636,802000,-14716.578125
1717033977.256752,812000,-14745.0
1717034129.1709065,822000,-15024.3681640625
1717034280.3629458,832000,-14551.4208984375
1717034431.4397306,842000,-14682.0
1717034585.65889,852000,-14738.841796875
1717034745.896917,862000,-14971.158203125
1717034899.3841925,872000,-14214.7373046875
1717035050.8880086,882000,-14582.947265625
1717035202.8820155,892000,-14599.7900390625
1717035354.2152636,902000,-14345.89453125
1717035514.1702287,912000,-14279.68359375
1717035665.0872173,922000,-14238.4736328125
1717035816.1002772,932000,-14193.3681640625
1717035967.2160125,942000,-14245.052734375
1717036118.2489686,952000,-14417.2626953125
1717036277.9283223,962000,-13886.6318359375
